company,layoff_occurances,Total_laid_off
Loft,6,1289
Swiggy,5,2880
Blend,4,860
Bounce,4,490
Gopuff,4,2300
Latch,4,335
Netflix,4,505
Ola,4,2800
Patreon,4,151
Salesforce,4,10090
Shopify,4,1150
Vedantu,4,1109
Amazon,3,18150
Clearco,3,235
Coinbase,3,2110
Compass,3,1096
"Delivery Hero",3,556
Doma,3,1075
"Ethos Life",3,108
Glossier,3,249
Groupon,3,3800
Hootsuite,3,520
Intercom,3,212
Katerra,3,3074
Lyft,3,1742
Meesho,3,650
Peloton,3,4084
Redfin,3,1568
ShareChat,3,701
Sonder,3,750
Twitter,3,3940
Unacademy,3,1500
Voi,3,265
Vroom,3,882
"Zeus Living",3,217
Zymergen,3,280
2TM,2,190
8x8,2,355
Airbnb,2,1930
Alice,2,176
Appgate,2,164
"Argo AI",2,682
AvantStay,2,224
Balto,2,65
Better.com,2,3900
"Beyond Meat",2,240
Bird,2,544
Bitso,2,180
Bizzabo,2,220
Blockchain.com,2,260
Bolt,2,307
Bonsai,2,59
Brex,2,198
Brighte,2,88
"Built In",2,78
Byju's,2,4000
Bytedance,2,3750
Cameo,2,167
"Carbon Health",2,450
"Career Karma",2,82
Carvana,2,4000
Cerebral,2,685
"Chipper Cash",2,150
ChowNow,2,140
Chrono24,2,145
Clari,2,65
"Clear Capital",2,628
Clutch,2,226
ConsenSys,2,191
Crypto.com,2,2260
Cue,2,558
CureFit,2,920
Cybereason,2,300
DataRobot,2,270
Deliveroo,2,717
DocuSign,2,1351
Ebanx,2,402
Electric,2,222
Equitybee,2,49
Eventbrite,2,580
Everlane,2,257
FarEye,2,340
Flyhomes,2,500
Food52,2,41
FrontRow,2,275
Fundbox,2,164
Gemini,2,168
Genesis,2,112
Gokada,2,74
Gorillas,2,840
GoStudent,2,300
Homie,2,159
Hopin,2,380
Houzz,2,250
Hubilo,2,160
Huobi,2,575
Infarm,2,550
Innovaccer,2,335
Inspirato,2,239
"Integral Ad Science",2,190
Intel,2,544
iRobot,2,225
Juul,2,1300
"Kitty Hawk",2,170
Klarna,2,800
Knotel,2,147
"Komodo Health",2,101
Kry,2,400
"Lambda School",2,84
Lattice,2,29
LEAD,2,140
Leafly,2,147
"Lending Club",2,685
"Lighter Capital",2,40
Lightico,2,40
LivePerson,2,223
Loggi,2,800
Loom,2,57
MasterClass,2,199
McMakler,2,190
Mejuri,2,86
Metromile,2,160
MindBody,2,1100
"Mode Analytics",2,42
Namogoo,2,45
Nate,2,60
Neon,2,280
"New Relic",2,290
Noom,2,995
Notarize,2,170
Nuro,2,307
Oda,2,140
Okta,2,324
"On Deck",2,145
OneFootball,2,212
OneTrust,2,1100
Opendoor,2,1150
Outreach,2,130
Outschool,2,74
OYO,2,1850
PayPal,2,2083
"Pear Therapeutics",2,118
PeerStreet,2,126
Philips,2,10000
Pipedrive,2,174
Playtika,2,850
